,Date,Predicted_Mean,Lower Bound,Upper Bound
0,2022-01-09,10414.028026425323,4750.508405674468,16077.54764717618
1,2022-01-16,10698.939828199527,3995.710916576657,17402.1687398224
2,2022-01-23,13659.238249368884,5669.330867610566,21649.1456311272
3,2022-01-30,11537.504740072049,2571.435831975481,20503.573648168618
4,2022-02-06,12536.380389190252,2647.62723450508,22425.133543875425
5,2022-02-13,11434.845398210335,717.0125565832386,22152.67823983743
6,2022-02-20,16903.657520421813,5411.4525452158105,28395.862495627814
7,2022-02-27,15504.39077168026,3288.5150006688327,27720.266542691686
8,2022-03-06,14002.749400761972,1103.1422485719431,26902.356552952
9,2022-03-13,12526.570760378067,-1022.0992363562764,26075.24075711241
10,2022-03-20,11984.235544295101,-2183.8668441035843,26152.337932693787
11,2022-03-27,9982.784180402792,-4778.754747397827,24744.32310820341
12,2022-04-03,9422.374604680052,-6953.447119285538,25798.19632864564
13,2022-04-10,9702.051760689164,-7741.392959107297,27145.496480485628
14,2022-04-17,12226.089896157651,-6356.234216016712,30808.414008332016
15,2022-04-24,11283.039627873623,-8325.358127422376,30891.43738316962
16,2022-05-01,11688.971075304813,-8910.708305360276,32288.650455969902
17,2022-05-08,10395.30236864621,-11144.369838153905,31934.974575446322
18,2022-05-15,13661.550419047384,-8780.789799179405,36103.89063727418
19,2022-05-22,14379.185853792893,-8930.181124974639,37688.552832560425
20,2022-05-29,12677.785369722342,-11467.746766333088,36823.31750577777
21,2022-06-05,11108.136006934415,-13845.468686109783,36061.74069997862
22,2022-06-12,9532.043123250287,-16204.306489471755,35268.39273597233
23,2022-06-19,7844.102409775563,-18651.866986433317,34340.071805984444
24,2022-06-26,7301.654518182595,-21217.042291262107,35820.35132762729
25,2022-07-03,7583.843134556357,-22318.193786883516,37485.88005599623
26,2022-07-10,10317.188731095444,-21076.425367414602,41710.80282960549
27,2022-07-17,8808.633866884693,-23948.30814303411,41565.575876803494
28,2022-07-24,9499.04604630123,-24587.921089234813,43586.01318183727
29,2022-07-31,8297.558593662643,-27061.93244333005,43657.04963065534
30,2022-08-07,12620.54526737921,-23969.90153679908,49210.9920715575
31,2022-08-14,12322.54064529183,-25457.830671553333,50102.911962137
32,2022-08-21,10716.979902243533,-28217.302616691355,49651.26242117842
33,2022-08-28,9192.175601525623,-30862.66963767315,49247.0208407244
34,2022-09-04,8112.055420058846,-33032.88874783272,49256.99958795041
35,2022-09-11,6273.699643813803,-35933.182951432194,48480.5822390598
36,2022-09-18,5722.634157117633,-38450.581738026114,49895.850052261376
37,2022-09-25,6003.617833665936,-39693.57970934104,51700.81537667291
38,2022-10-02,8636.5426156225,-38658.8125540672,55931.8977853122
39,2022-10-09,7399.30360361621,-41397.581343036654,56196.18855026907
40,2022-10-16,7953.228594793599,-42316.07548793755,58222.532677524745
41,2022-10-23,6707.514736796216,-44986.6692253808,58401.69869897324
42,2022-10-30,10523.502984315486,-42559.33299287026,63606.33896150123
43,2022-11-06,10712.77865939533,-43722.578411845796,65148.13573063645
44,2022-11-13,9061.236254663283,-46694.098990529936,64816.571499856494
45,2022-11-20,7514.916344133662,-49529.769590851385,64559.60227911871
46,2022-11-27,6196.840083544786,-52108.72431009449,64502.404477184056
47,2022-12-04,4430.64992935457,-55109.085279464,63970.385138173144
48,2022-12-11,3883.7189628306837,-57764.34852408748,65531.78644974884
49,2022-12-18,4165.2807412687935,-59175.32792117894,67505.88940371653
50,2022-12-25,6846.385076643264,-58262.94925066724,71955.71940395377
51,2023-01-01,5478.975077190266,-61308.853338108536,72266.80349248907
