,Date,Predicted_Mean,Lower Bound,Upper Bound
0,2022-01-09,566.2851543320817,169.55611583286355,963.0141928312999
1,2022-01-16,714.369858969872,135.23931066005127,1293.5004072796928
2,2022-01-23,975.608733831387,258.15463885966574,1693.0628288031082
3,2022-01-30,753.4553928637681,-79.71588544636847,1586.6266711739047
4,2022-02-06,798.474625590891,-136.19848547235074,1733.1477366541328
5,2022-02-13,943.13600926823,-83.04799739419627,1969.3200159306564
6,2022-02-20,1205.6747829975611,95.49757712885958,2315.8519888662627
7,2022-02-27,960.4564937070922,-227.7914781916595,2148.7044656058442
8,2022-03-06,992.4369904897792,-269.05936586673624,2253.9333468462946
9,2022-03-13,1007.2762844754958,-323.4426458345937,2337.995214785585
10,2022-03-20,855.6339236351558,-540.8805538661867,2252.1484011364983
11,2022-03-27,668.0454402766338,-791.3011601771752,2127.392040730443
12,2022-04-03,615.180907690488,-923.3938804292183,2153.755695810194
13,2022-04-10,668.354299817802,-946.7900382431369,2283.4986378787407
14,2022-04-17,716.2120160020064,-972.1073722864188,2404.5314042904315
15,2022-04-24,1023.7818783489276,-734.6746863623093,2782.2384430601646
16,2022-05-01,928.6228735027389,-897.2789964634196,2754.524743468897
17,2022-05-08,1014.8178768036227,-876.1252349667565,2905.7609885740017
18,2022-05-15,1016.7233253237794,-937.0970526142082,2970.543703261767
19,2022-05-22,1112.4416032358276,-902.2946789606751,3127.17788543233
20,2022-05-29,1284.6005646126162,-789.2631011978167,3358.4642304230492
21,2022-06-05,1298.7354442036394,-832.6159397636852,3430.086828170964
22,2022-06-12,1104.8282196677092,-1082.500502657821,3292.1569419932393
23,2022-06-19,848.911540001293,-1392.9972799735629,3090.8203599761487
24,2022-06-26,765.9580552495911,-1626.3648262087129,3158.2809367078953
25,2022-07-03,898.7899411698045,-1642.2916213982535,3439.8715037378624
26,2022-07-10,1125.7371805564414,-1556.3051399436652,3807.779501056548
27,2022-07-17,988.713544119659,-1827.2688632412462,3804.695951480564
28,2022-07-24,1011.2052910360771,-1932.6310445861218,3955.041626658276
29,2022-07-31,1146.470775769794,-1919.8932647035756,4212.834816243164
30,2022-08-07,1367.124206687793,-1817.0561470132484,4551.304560388835
31,2022-08-14,1176.6964741411148,-2121.0937895839684,4474.486737866198
32,2022-08-21,1231.204493218113,-2176.410027571879,4638.819014008104
33,2022-08-28,1245.93058357425,-2268.077501374826,4759.938668523326
34,2022-09-04,1087.4960049569115,-2529.7776811051144,4704.769691018938
35,2022-09-11,888.9267695255713,-2828.745219591554,4606.598758642696
36,2022-09-18,831.2267613713007,-3010.1032024611095,4672.556725203711
37,2022-09-25,897.2017525177431,-3065.6160567337974,4860.019561769283
38,2022-10-02,973.840232125933,-3106.9545481061878,5054.635012358053
39,2022-10-09,1209.9612454306234,-2985.500725551541,5405.423216412788
40,2022-10-16,1133.7094239449386,-3173.368435978641,5440.787283868519
41,2022-10-23,1227.7903487222175,-3188.0831153311565,5643.663812775591
42,2022-10-30,1264.8499135652485,-3257.2024107033085,5786.902237833805
43,2022-11-06,1314.5828067129357,-3311.2118274218737,5940.377440847746
44,2022-11-13,1467.834554108749,-3259.4262564467363,6195.095364664235
45,2022-11-20,1482.0644448252708,-3344.529959601161,6308.658849251702
46,2022-11-27,1293.8578878211413,-3630.0665956237044,6217.7823712659865
47,2022-12-04,1047.1572873311393,-3972.2103115297637,6066.524886192043
48,2022-12-11,968.2621881431886,-4211.66878395778,6148.193160244157
49,2022-12-18,1090.349768995533,-4249.997003771042,6430.696541762108
50,2022-12-25,1293.1414867280848,-4203.2317663418025,6789.514739797972
51,2023-01-01,1216.0844395986846,-4432.024723309651,6864.193602507019
